Title;Issn;SJR;QUARTIL;H index
Synthesis Lectures on Artificial Intelligence and Machine Learning;19394616, 19394608;9.129;Q1;30
Lancet Gastroenterology and Hepatology, The;24681253;8.957;Q1;105
American Economic Journal: Applied Economics;19457790, 19457782;8.933;Q1;109
Annual Review of Economics;19411383, 19411391;8.925;Q1;76
Acta Numerica;14740508, 09624929;8.913;Q1;85
Nature Cell Biology;14764679, 14657392;8.913;Q1;409
Reviews of Geophysics;19449208, 87551209;8.853;Q1;191
Cell Genomics;2666979X;8.807;Q1;20
Journal of the American College of Cardiology;15583597, 07351097;8.762;Q1;493
Science immunology;24709468;8.761;Q1;106
Annual Review of Fluid Mechanics;15454479, 00664189;8.751;Q1;214
Advanced Energy Materials;16146832, 16146840;8.748;Q1;319
Signal Transduction and Targeted Therapy;20593635, 20959907;8.737;Q1;117
Advances in Optics and Photonics;19438206;8.735;Q1;88
IEEE Journal on Selected Areas in Communications;07338716;8.707;Q1;263
Annual Review of Neuroscience;0147006X, 15454126;8.658;Q1;261
eLight;26628643, 20971710;8.65;Q1;22
Lancet Neurology, The;14744465, 14744422;8.589;Q1;355
Circulation;00097322, 15244539;8.415;Q1;674
Psychological Bulletin;00332909, 19391455;8.412;Q1;359
Nature Reviews Cardiology;17595010, 17595002;8.408;Q1;183
Journal of Accounting and Economics;01654101;8.337;Q1;187
Academy of Management Journal;00014273;8.271;Q1;375
Nature Physics;17452473;8.228;Q1;334
Molecular Cancer;14764598;8.222;Q1;196
AI Open;26666510;8.119;Q1;16
Gut;14683288, 00175749;8.052;Q1;348
Foundations and Trends in Finance;15672409, 15672395;8.051;Q1;23
Synthesis Lectures on Communication Networks;19354185;7.993;Q1;12
Nature Microbiology;20585276;7.982;Q1;138
Lancet Respiratory Medicine,The;22132619, 22132600;7.965;Q1;182
Nature Biomedical Engineering;2157846X;7.951;Q1;116
Endocrine Reviews;19457189, 0163769X;7.922;Q1;307
Journal of Thoracic Oncology;15561380, 15560864;7.879;Q1;178
Nature Reviews Neuroscience;14710048, 1471003X;7.86;Q1;474
JAMA Oncology;23742445, 23742437;7.843;Q1;173
Nature Reviews Physics;25225820;7.833;Q1;70
Lancet Psychiatry,The;22150374, 22150366;7.827;Q1;145
Strategic Management Journal;10970266, 01432095;7.82;Q1;333
Progress in Materials Science;18732208, 00796425;7.796;Q1;235
Review of Finance;1573692X, 15723097;7.769;Q1;77
ACM Transactions on Graphics;15577368, 07300301;7.766;Q1;251
Cell Host and Microbe;19346069, 19313128;7.76;Q1;241
Neuron;10974199, 08966273;7.728;Q1;530
Nature Climate Change;17586798, 1758678X;7.724;Q1;267
Annual Review of Organizational Psychology and Organizational Behavior;23270608;7.706;Q1;75
Annual Review of Plant Biology;15452123, 15435008;7.555;Q1;298
Review of Economics and Statistics;00346535, 15309142;7.553;Q1;200
Journal of Management;01492063, 15571211;7.539;Q1;280
Cancer Discovery;21598274, 21598290;7.533;Q1;229
Journal of Hematology and Oncology;17568722;7.522;Q1;144
Journal of Economic Perspectives;08953309;7.496;Q1;224
Living Reviews in Solar Physics;16144961, 23673648;7.472;Q1;68
Nature Protocols;17542189;7.419;Q1;303
Annual Review of Genetics;15452948, 00664197;7.366;Q1;200
Nature Sustainability;23989629;7.366;Q1;115
Gastroenterology;15280012, 00165085;7.362;Q1;466
Annual Review of Clinical Psychology;15485951, 15485943;7.348;Q1;145
Lancet Digital Health, The;25897500;7.277;Q1;66
Nature Reviews Endocrinology;17595037, 17595029;7.274;Q1;203
The Innovation;26666758;7.268;Q1;41
ACS Energy Letters;23808195;7.202;Q1;195
Genome Biology;14747596;7.197;Q1;301
Journal of the Academy of Marketing Science;00920703, 15527824;7.194;Q1;207
Nature Metabolism;25225812;7.192;Q1;75
Annals of Mathematics;0003486X;7.154;Q1;137
Nature Structural and Molecular Biology;15459993, 15459985;7.151;Q1;303
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques;16181913, 00738301;7.086;Q1;49
Nucleic Acids Research;03051048, 13624962;7.048;Q1;637
Nature Chemistry;17554330, 17554349;6.94;Q1;291
European Urology;18737560, 03022838;6.928;Q1;261
Annual Review of Physiology;00664278, 15451585;6.87;Q1;237
Journal of Experimental Medicine;00221007, 15409538;6.838;Q1;490
Materials Science and Engineering: R: Reports;0927796X;6.822;Q1;172
Electrochemical Energy Reviews;25208136, 25208489;6.791;Q1;62
Fungal Diversity;15602745, 18789129;6.787;Q1;123
Clinical Microbiology Reviews;08938512, 10986618;6.762;Q1;331
Organizational Research Methods;15527425, 10944281;6.712;Q1;138
International Journal of Computer Vision;09205691, 15731405;6.668;Q1;221
Journal of the European Economic Association;15424774, 15424766;6.658;Q1;119
Journal of Accounting Research;1475679X, 00218456;6.625;Q1;169
Science Robotics;24709476;6.601;Q1;101
Journal of Monetary Economics;03043932;6.564;Q1;149
Chem;24519308, 24519294;6.556;Q1;144
American Economic Journal: Economic Policy;19457731, 1945774X;6.519;Q1;88
Science Translational Medicine;19466234, 19466242;6.51;Q1;284
Nano-Micro Letters;23116706, 21505551;6.484;Q1;116
Annual Review of Cell and Developmental Biology;15308995, 10810706;6.456;Q1;240
Journal of Applied Psychology;19391854, 00219010;6.453;Q1;340
Physics Reports;03701573;6.435;Q1;318
Journal of the American Mathematical Society;10886834, 08940347;6.428;Q1;110
Neuro-Oncology;15228517, 15235866;6.348;Q1;163
Lancet Infectious Diseases, The;14744457, 14733099;6.329;Q1;291
Review of Asset Pricing Studies;20459920, 20459939;6.315;Q1;29
ACM Computing Surveys;03600300, 15577341;6.28;Q1;213
Advances in Methods and Practices in Psychological Science;25152459, 25152467;6.269;Q1;42
JAMA Psychiatry;21686238, 2168622X;6.241;Q1;408
Nature Reviews Neurology;17594766, 17594758;6.237;Q1;207
Intensive Care Medicine;14321238, 03424642;6.232;Q1;237
JAMA Cardiology;23806583, 23806591;6.231;Q1;113
Lancet Global Health,The;2214109X;6.221;Q1;136
Progress in Polymer Science;00796700;6.211;Q1;331
Advanced Powder Materials;2772834X;6.197;Q1;28
JAMA Neurology;21686157, 21686149;6.194;Q1;272
IEEE Transactions on Pattern Analysis and Machine Intelligence;01628828;6.158;Q1;417
Philosophical Review, The;00318108;6.146;Q1;65
Annals of the Rheumatic Diseases;00034967, 14682060;6.138;Q1;288
Progress in Energy and Combustion Science;03601285;6.114;Q1;228
Nature Human Behaviour;23973374;6.097;Q1;98
Proceedings of the IEEE;15582256, 00189219;6.085;Q1;325
Journal of Labor Economics;0734306X, 15375307;6.084;Q1;131
Foundations and Trends in Signal Processing;19328346, 19328354;6.069;Q1;20
Pharmacological Reviews;15210081, 00316997;6.05;Q1;254
Trends in Cell Biology;09628924, 18793088;6.002;Q1;263
Journal of Marketing Research;00222437, 15477193;5.984;Q1;202
Molecular Plant;16742052, 17529867;5.967;Q1;162
Materials Today;13697021, 18734103;5.949;Q1;228
Accounts of Chemical Research;00014842, 15204898;5.948;Q1;453
Nature Machine Intelligence;25225839;5.94;Q1;67
Nature Reviews Nephrology;1759507X, 17595061;5.939;Q1;161
JAMA - Journal of the American Medical Association;15383598, 00987484;5.928;Q1;768
IEEE Wireless Communications;15361284;5.926;Q1;188
Progress in Retinal and Eye Research;13509462, 18731635;5.923;Q1;189
European Journal of Heart Failure;13889842, 18790844;5.919;Q1;171
Annual Review of Entomology;00664170, 15454487;5.909;Q1;230
Physical Review X;21603308;5.896;Q1;183
Nature Geoscience;17520908, 17520894;5.874;Q1;263
Developmental Cell;15345807, 18781551;5.828;Q1;295
Annual Review of Political Science;10942939, 15451577;5.826;Q1;129
Entrepreneurship Theory and Practice;10422587, 15406520;5.819;Q1;198
International Journal of Information Management;02684012;5.775;Q1;177
Review of Educational Research;00346543, 19351046;5.772;Q1;186
JACC: Heart Failure;22131787, 22131779;5.724;Q1;106
Nature Aging;26628465;5.705;Q1;30
Diabetes Care;19355548, 01495992;5.694;Q1;418
InfoMat;25673165;5.672;Q1;69
Clinical Psychology Review;18737811, 02727358;5.653;Q1;255
Information Fusion;18726305, 15662535;5.647;Q1;156
Marketing Science;07322399, 1526548X;5.643;Q1;153
IEEE Transactions on Cybernetics;21682275, 21682267;5.641;Q1;185
Organization Science;15265455, 10477039;5.632;Q1;281
IEEE Communications Magazine;01636804;5.631;Q1;282
NCHS data brief;19414927, 19414935;5.622;Q1;95
Perspectives on Psychological Science;17456916, 17456924;5.597;Q1;181
Annual Review of Biophysics;19361238, 1936122X;5.561;Q1;172
Nature Chemical Biology;15524469, 15524450;5.558;Q1;259
Nature Reviews Psychology;27310574;5.549;Q1;17
Annual Review of Environment and Resources;15452050, 15435938;5.501;Q1;147
Advanced Functional Materials;1616301X;5.496;Q1;402
JAMA Pediatrics;21686211, 21686203;5.494;Q1;221
EMBO Journal;02614189, 14602075;5.489;Q1;429
Journal of the American Chemical Society;15205126, 00027863;5.489;Q1;703
Review of Accounting Studies;15737136, 13806653;5.481;Q1;97
Annual Review of Medicine;1545326X, 00664219;5.48;Q1;176
Manufacturing and Service Operations Management;15265498, 15234614;5.466;Q1;110
Annual Review of Earth and Planetary Sciences;00846597;5.462;Q1;178
Annual Review of Public Health;01637525, 15452093;5.44;Q1;178
Management Science;00251909, 15265501;5.438;Q1;290
Journal of Consumer Research;00935301, 15375277;5.428;Q1;220
Review of Corporate Finance Studies;20469136, 20469128;5.418;Q1;24
Annual Review of Ecology, Evolution, and Systematics;1543592X;5.403;Q1;247
Lancet Microbe, The;26665247;5.392;Q1;42
Energy Storage Materials;24058297;5.374;Q1;158
IEEE Transactions on Wireless Communications;15361276, 15582248;5.371;Q1;251
Advanced Photonics;25775421;5.361;Q1;42
Organization Studies;17413044, 01708406;5.349;Q1;179
American Journal of Respiratory and Critical Care Medicine;1073449X, 15354970;5.336;Q1;423
Annals of Statistics;00905364;5.335;Q1;192
Molecular Systems Biology;17444292;5.305;Q1;172
Angewandte Chemie - International Edition;14337851, 15213773;5.3;Q1;640
EnergyChem;25897780;5.274;Q1;40
Blood;15280020, 00064971;5.272;Q1;525
IEEE Transactions on Evolutionary Computation;1089778X;5.209;Q1;210
Molecular Neurodegeneration;17501326;5.205;Q1;115
Mycosphere;20777019, 20777000;5.204;Q1;40
Carbon Energy;26379368;5.202;Q1;53
Reports on Progress in Physics;13616633, 00344885;5.195;Q1;247
Light: Science and Applications;20477538;5.187;Q1;153
Trends in Ecology and Evolution;01695347, 18728383;5.165;Q1;381
Journal of Public Economics;00472727;5.144;Q1;174
Nature Plants;2055026X, 20550278;5.134;Q1;131
Brookings Papers on Economic Activity;00072303, 15334465;5.133;Q1;96
Applied Catalysis B: Environmental;18733883, 09263373;5.112;Q1;328
Psychotherapy and Psychosomatics;00333190, 14230348;5.104;Q1;117
American Political Science Review;15375943, 00030554;5.07;Q1;203
Lancet Planetary Health, The;25425196;5.057;Q1;72
Nature Ecology and Evolution;2397334X;5.056;Q1;118
Matter;25902393, 25902385;5.048;Q1;88
Analytic Methods in Accident Research;22136657;5.02;Q1;54
Foundations and Trends in Systems and Control;23256826, 23256818;5.016;Q1;19
Genes and Development;15495477, 08909369;5.015;Q1;479
Hepatology;02709139, 15273350;5.011;Q1;403
Journal of the National Cancer Institute;14602105, 00278874;4.986;Q1;387
Genome Medicine;1756994X;4.975;Q1;123
Radiocarbon;00338222;4.956;Q1;92
Lancet Regional Health - Europe, The;26667762;4.955;Q1;44
PRX Quantum;26913399;4.954;Q1;46
Foundations and Trends in Computer Graphics and Vision;15722740;4.952;Q1;27
Cancer Communications;25233548;4.95;Q1;79
Journal of Service Research;10946705, 15527379;4.948;Q1;148
International Organization;15315088, 00208183;4.932;Q1;163
Circulation Research;00097330, 15244571;4.903;Q1;385
IEEE Signal Processing Magazine;10535888;4.896;Q1;211
Annual Review of Marine Science;19410611, 19411405;4.891;Q1;127
Nature Food;26621355;4.891;Q1;57
Trends in Neurosciences;01662236, 1878108X;4.891;Q1;318
Nature Communications;20411723;4.887;Q1;522
Cell Systems;24054720, 24054712;4.872;Q1;87
IEEE Transactions on Smart Grid;19493053;4.863;Q1;230
Annual Review of Financial Economics;19411367, 19411375;4.854;Q1;44
Cellular and Molecular Immunology;20420226, 16727681;4.838;Q1;124
Journal of Clinical Investigation;00219738, 15588238;4.833;Q1;544
Studies in Mycology;01660616;4.821;Q1;118
Nature reviews. Rheumatology;17594790, 17594804;4.818;Q1;182
Acta Mathematica;00015962;4.814;Q1;76
Journal of Business Venturing;08839026;4.813;Q1;224
Personality and Social Psychology Review;10888683, 15327957;4.795;Q1;185
Cement and Concrete Research;00088846;4.781;Q1;288
Nature Synthesis;27310582;4.759;Q1;25
Trends in Cognitive Sciences;1879307X, 13646613;4.758;Q1;358
Periodontology 2000;09066713, 16000757;4.744;Q1;151
Acta Neuropathologica;00016322, 14320533;4.72;Q1;215
Quantitative Economics;17597323, 17597331;4.72;Q1;36
Educational Psychologist;15326985, 00461520;4.709;Q1;154
Annual Review of Physical Chemistry;0066426X, 15451593;4.696;Q1;186
IEEE/CAA Journal of Automatica Sinica;23299266, 23299274;4.696;Q1;83
British Journal of Sports Medicine;03063674, 14730480;4.691;Q1;224
Handbook of Industrial Organization;1573448X;4.691;Q1;10
Brain;14602156, 00068950;4.689;Q1;380
Nano Energy;22112855;4.685;Q1;255
Progress in Particle and Nuclear Physics;01466410;4.672;Q1;129
Drug Resistance Updates;13687646, 15322084;4.665;Q1;132
Ophthalmology;15494713, 01616420;4.642;Q1;285
Accounting Review;00014826, 15587967;4.64;Q1;192
Blood cancer discovery;26433230, 26433249;4.64;Q1;25
JACC: Cardiovascular Imaging;1936878X, 18767591;4.636;Q1;155
Annual Review of Control, Robotics, and Autonomous Systems;25735144;4.633;Q1;36
American Journal of Political Science;00925853, 15405907;4.629;Q1;204
Clinical Cancer Research;10780432, 15573265;4.623;Q1;377
GigaScience;2047217X;4.621;Q1;88
Political Analysis;10471987, 14764989;4.612;Q1;83
Computational Visual Media;20960662, 20960433;4.608;Q1;27
Journal of International Business Studies;00472506, 14786990;4.6;Q1;229
ACS Nano;1936086X, 19360851;4.593;Q1;478
Carbon Research;27316696;4.585;Q1;17
Journal of International Economics;18730353, 00221996;4.583;Q1;159
Journal of Management Studies;00222380, 14676486;4.578;Q1;221
Academy of Management Perspectives;15589080;4.569;Q1;156
Annual Review of Nuclear and Particle Science;01638998;4.538;Q1;113
Journal of Human Resources;15488004, 0022166X;4.524;Q1;123
American Journal of Human Genetics;15376605, 00029297;4.516;Q1;330
Trends in Cancer;24058033, 24058025;4.513;Q1;90
Economic Journal;14680297, 00130133;4.507;Q1;185
IEEE Transactions on Automatic Control;00189286, 15582523;4.501;Q1;329
Ecology Letters;1461023X, 14610248;4.497;Q1;313
Foundations and Trends in Information Retrieval;15540669, 15540677;4.496;Q1;36
Science advances;23752548;4.483;Q1;252
IEEE Transactions on Industrial Informatics;15513203;4.42;Q1;193
Protein Science;1469896X, 09618368;4.419;Q1;196
Lancet HIV,The;23523018;4.416;Q1;81
Protein and Cell;16748018, 1674800X;4.412;Q1;94
Accounts of Materials Research;26436728;4.403;Q1;39
Genome Research;15495469, 10889051;4.403;Q1;328
Health Affairs;02782715, 15445208;4.387;Q1;212
Qualitative Research in Psychology;14780895, 14780887;4.387;Q1;52
Leadership Quarterly;10489843;4.375;Q1;189
IEEE Transactions on Sustainable Energy;19493029, 19493037;4.364;Q1;164
JAMA Internal Medicine;21686114, 21686106;4.363;Q1;390
Annual Review of Genomics and Human Genetics;15278204, 1545293X;4.361;Q1;129
Biological Reviews;1469185X, 14647931;4.347;Q1;199
Quarterly Journal of the Royal Meteorological Society;1477870X, 00359009;4.347;Q1;166
International Journal of Robotics Research;02783649, 17413176;4.346;Q1;190
SmartMat;27668525, 2688819X;4.332;Q1;33
Journal of the Royal Statistical Society. Series B: Statistical Methodology;14679868, 13697412;4.33;Q1;151
Lancet Healthy Longevity, The;26667568;4.324;Q1;30
American Journal of Psychiatry;0002953X, 15357228;4.321;Q1;395
Educational Psychology Review;1040726X, 1573336X;4.321;Q1;142
Inventiones Mathematicae;00209910, 14321297;4.321;Q1;124
Journal of the American Academy of Child and Adolescent Psychiatry;08908567, 15275418;4.32;Q1;273
Journal of Urban Economics;10959068, 00941190;4.314;Q1;132
Remote Sensing of Environment;00344257;4.31;Q1;350
IEEE Transactions on Communications;15580857;4.307;Q1;235
PhotoniX;26621991;4.303;Q1;30
American Sociological Review;00031224, 19398271;4.295;Q1;230
Global Change Biology;13652486, 13541013;4.285;Q1;313
Cell Reports;22111247;4.279;Q1;224
Cell Reports Medicine;26663791;4.276;Q1;50
npj Digital Medicine;23986352;4.273;Q1;84
Journal of Extracellular Vesicles;20013078;4.268;Q1;112
Psychological Methods;1082989X, 19391463;4.235;Q1;183
Earth System Science Data;18663516, 18663508;4.231;Q1;99
Lancet Child and Adolescent Health, The;23524642;4.229;Q1;69
IEEE Transactions on Fuzzy Systems;10636706;4.204;Q1;218
Vital and health statistics. Series 2, Data evaluation and methods research;00832057, 23330872;4.202;Q1;33
Cell Discovery;20565968;4.198;Q1;59
PLoS Medicine;15491277, 15491676;4.198;Q1;275
Communications on Pure and Applied Mathematics;00103640, 10970312;4.188;Q1;120
Information Systems Research;15265536, 10477047;4.176;Q1;185
IEEE Transactions on Neural Networks and Learning Systems;2162237X, 21622388;4.17;Q1;251
Trends in Immunology;14714906, 14714981;4.163;Q1;256
Coordination Chemistry Reviews;00108545;4.145;Q1;312
Medical Image Analysis;13618415, 13618423;4.112;Q1;171
MIS Quarterly: Management Information Systems;02767783, 21629730;4.105;Q1;271
Cell Death and Differentiation;13509047, 14765403;4.102;Q1;257
Journal of the National Comprehensive Cancer Network : JNCCN;15401413, 15401405;4.102;Q1;150
European Heart Journal;15229645, 0195668X;4.091;Q1;348
Annual Review of Microbiology;00664227, 15453251;4.082;Q1;213
Human Reproduction Update;14602369, 13554786;4.074;Q1;214
Trends in Biochemical Sciences;13624326, 09680004;4.074;Q1;301
Molecular Biology and Evolution;15371719, 07374038;4.061;Q1;245
Communication Methods and Measures;19312466, 19312458;4.06;Q1;43
Autophagy;15548627;4.035;Q1;189
Annual Review of Virology;23270578, 2327056X;4.023;Q1;67
Transactions of the Association for Computational Linguistics;2307387X;4.006;Q1;56
Aggregate;27668541, 26924560;3.994;Q1;33
IEEE Transactions on Systems, Man, and Cybernetics: Systems;21682216, 21682232;3.992;Q1;171
Journal of Financial and Quantitative Analysis;00221090, 17566916;3.98;Q1;147
Blood Cancer Journal;20445385;3.974;Q1;76
EMBO Molecular Medicine;17574676, 17574684;3.964;Q1;142
Annual Review of Pharmacology and Toxicology;15454304, 03621642;3.957;Q1;224
Educational Researcher;0013189X;3.956;Q1;151
eLife;2050084X;3.932;Q1;206
Lancet Haematology,The;23523026;3.923;Q1;93
Journal of the American Statistical Association;01621459, 1537274X;3.922;Q1;215
Journal of Retailing;00224359;3.915;Q1;159
Advanced Science;21983844;3.914;Q1;187
Strategic Organization;1741315X, 14761270;3.914;Q1;73
JAMA Surgery;21686262, 21686254;3.905;Q1;206
IEEE Network;08908044, 1558156X;3.896;Q1;151
Molecular Psychiatry;14765578, 13594184;3.895;Q1;250
Kidney International;00852538, 15231755;3.886;Q1;318
Educational Research Review;1747938X;3.874;Q1;100
Contemporary Educational Psychology;0361476X, 10902384;3.863;Q1;130
RAND Journal of Economics;17562171, 07416261;3.86;Q1;127
ACS Catalysis;21555435;3.847;Q1;293
American Economic Journal: Microeconomics;19457669, 19457685;3.835;Q1;54
Digest of Technical Papers - IEEE International Solid-State Circuits Conference;01936530;3.827;-;114
IEEE Transactions on Power Systems;08858950;3.827;Q1;307
European Journal of Information Systems;0960085X, 14769344;3.824;Q1;128
PLoS Biology;15449173, 15457885;3.822;Q1;305
IEEE Journal on Selected Topics in Signal Processing;19324553;3.818;Q1;141
European Respiratory Journal;09031936, 13993003;3.81;Q1;282
Academy of Management Discoveries;21681007;3.803;Q1;26
Microbiome;20492618;3.802;Q1;143
Advances in Applied Energy;26667924;3.788;Q1;33
Sociological Methods and Research;00491241, 15528294;3.788;Q1;94
Biological Psychiatry;00063223, 18732402;3.786;Q1;356
Cancer Immunology Research;23266066, 23266074;3.781;Q1;134
Duke Mathematical Journal;15477398, 00127094;3.774;Q1;95
Annual Review of Cancer Biology;24723428;3.766;Q1;36
Personnel Psychology;00315826, 17446570;3.763;Q1;167
ISPRS Journal of Photogrammetry and Remote Sensing;09242716;3.76;Q1;187
Journal of Development Economics;03043878;3.737;Q1;171
Proceedings of the National Academy of Sciences of the United States of America;10916490, 00278424;3.737;Q1;869
Molecular Therapy;15250024, 15250016;3.736;Q1;209
Journal for ImmunoTherapy of Cancer;20511426;3.728;Q1;117
ACS Central Science;23747951, 23747943;3.722;Q1;136
Journal of Cell Biology;15408140, 00219525;3.717;Q1;414
Lancet Rheumatology, The;26659913;3.717;Q1;54
Current Climate Change Reports;21986061;3.713;Q1;53
Nature Cardiovascular Research;27310590;3.71;Q1;15
Arthritis and Rheumatology;23265191, 23265205;3.708;Q1;353
Archive for Rational Mechanics and Analysis;00039527, 14320673;3.703;Q1;111
IEEE Transactions on Medical Imaging;02780062, 1558254X;3.703;Q1;259
Journal of Allergy and Clinical Immunology;10976825, 00916749;3.701;Q1;338
ISME Journal;17517362, 17517370;3.692;Q1;230
Radiology;00338419, 15271315;3.692;Q1;336
Trends in Genetics;01689525, 13624555;3.69;Q1;245
Computer Science Review;15740137;3.679;Q1;75
Eco-Environment and Health;27729850;3.678;Q1;10
Experimental and Molecular Medicine;12263613, 20926413;3.671;Q1;115
IEEE Transactions on Robotics;15523098;3.669;Q1;190
Cancer Treatment Reviews;03057372, 15321967;3.667;Q1;164
Business Strategy and the Environment;10990836, 09644733;3.666;Q1;147
Leukemia;08876924, 14765551;3.662;Q1;219
Earth-Science Reviews;00128252;3.654;Q1;249
Computers and Education;03601315;3.651;Q1;232
Cement and Concrete Composites;09589465;3.65;Q1;212
Structural Equation Modeling;15328007, 10705511;3.647;Q1;125
IEEE Transactions on Power Electronics;08858993;3.644;Q1;321
Progress in Lipid Research;18732194, 01637827;3.638;Q1;168
Strategic Entrepreneurship Journal;19324391, 1932443X;3.628;Q1;69
Advanced Composites and Hybrid Materials;25220128, 25220136;3.623;Q1;70
Health systems in transition;18176127, 18176119;3.619;Q1;43
Plant Cell;1532298X, 10404651;3.616;Q1;397
Applied Physics Reviews;19319401;3.61;Q1;105
Journal of Personality and Social Psychology;00223514;3.61;Q1;434
